Iter,Time,S,E,I,R
0,0.0,85.0,15.0,0.0,0.0
1,1.0,85.0,14.0,1.0,0.0
2,2.0,84.0,15.0,1.0,0.0
3,3.0,84.0,14.0,2.0,0.0
4,4.0,84.0,13.0,3.0,0.0
5,5.0,84.0,12.0,4.0,0.0
6,6.0,84.0,12.0,3.0,1.0
7,7.0,84.0,11.0,4.0,1.0
8,8.0,84.0,10.0,5.0,1.0
9,9.0,84.0,9.0,6.0,1.0
10,10.0,83.0,10.0,6.0,1.0
11,11.0,82.0,11.0,6.0,1.0
12,12.0,81.0,12.0,6.0,1.0
13,13.0,81.0,11.0,7.0,1.0
14,14.0,80.0,12.0,7.0,1.0
15,15.0,80.0,11.0,8.0,1.0
16,16.0,79.0,12.0,8.0,1.0
17,17.0,78.0,13.0,8.0,1.0
18,18.0,78.0,13.0,7.0,2.0
19,19.0,77.0,14.0,7.0,2.0
20,20.0,77.0,13.0,8.0,2.0
21,21.0,77.0,12.0,9.0,2.0
22,22.0,76.0,13.0,9.0,2.0
23,23.0,76.0,12.0,10.0,2.0
24,24.0,75.0,13.0,10.0,2.0
25,25.0,75.0,12.0,11.0,2.0
26,26.0,75.0,12.0,10.0,3.0
27,27.0,75.0,11.0,11.0,3.0
28,28.0,75.0,11.0,10.0,4.0
29,29.0,74.0,12.0,10.0,4.0
30,30.0,73.0,13.0,10.0,4.0
31,31.0,72.0,14.0,10.0,4.0
32,32.0,72.0,14.0,9.0,5.0
33,33.0,72.0,14.0,8.0,6.0
34,34.0,71.0,15.0,8.0,6.0
35,35.0,70.0,16.0,8.0,6.0
36,36.0,70.0,15.0,9.0,6.0
37,37.0,70.0,14.0,10.0,6.0
38,38.0,69.0,15.0,10.0,6.0
39,39.0,68.0,16.0,10.0,6.0
40,40.0,67.0,17.0,10.0,6.0
41,41.0,67.0,16.0,11.0,6.0
42,42.0,67.0,16.0,10.0,7.0
43,43.0,66.0,17.0,10.0,7.0
44,44.0,65.0,18.0,10.0,7.0
45,45.0,65.0,17.0,11.0,7.0
46,46.0,65.0,17.0,10.0,8.0
47,47.0,64.0,18.0,10.0,8.0
48,48.0,63.0,19.0,10.0,8.0
49,49.0,63.0,19.0,9.0,9.0
50,50.0,63.0,18.0,10.0,9.0
51,51.0,63.0,18.0,9.0,10.0
52,52.0,63.0,17.0,10.0,10.0
53,53.0,63.0,16.0,11.0,10.0
54,54.0,62.0,17.0,11.0,10.0
55,55.0,62.0,17.0,10.0,11.0
56,56.0,62.0,16.0,11.0,11.0
57,57.0,62.0,15.0,12.0,11.0
58,58.0,61.0,16.0,12.0,11.0
59,59.0,61.0,15.0,13.0,11.0
60,60.0,61.0,14.0,14.0,11.0
61,61.0,61.0,14.0,13.0,12.0
62,62.0,61.0,13.0,14.0,12.0
63,63.0,61.0,12.0,15.0,12.0
64,64.0,61.0,12.0,14.0,13.0
65,65.0,60.0,13.0,14.0,13.0
66,66.0,60.0,12.0,15.0,13.0
67,67.0,59.0,13.0,15.0,13.0
68,68.0,59.0,12.0,16.0,13.0
69,69.0,58.0,13.0,16.0,13.0
70,70.0,58.0,13.0,15.0,14.0
71,71.0,57.0,14.0,15.0,14.0
72,72.0,56.0,15.0,15.0,14.0
73,73.0,55.0,16.0,15.0,14.0
74,74.0,55.0,16.0,14.0,15.0
75,75.0,55.0,15.0,15.0,15.0
76,76.0,54.0,16.0,15.0,15.0
77,77.0,53.0,17.0,15.0,15.0
78,78.0,52.0,18.0,15.0,15.0
79,79.0,52.0,17.0,16.0,15.0
80,80.0,52.0,16.0,17.0,15.0
81,81.0,52.0,15.0,18.0,15.0
82,82.0,51.0,16.0,18.0,15.0
83,83.0,51.0,15.0,19.0,15.0
84,84.0,51.0,15.0,18.0,16.0
85,85.0,51.0,15.0,17.0,17.0
86,86.0,51.0,14.0,18.0,17.0
87,87.0,51.0,14.0,17.0,18.0
88,88.0,50.0,15.0,17.0,18.0
89,89.0,50.0,14.0,18.0,18.0
90,90.0,50.0,14.0,17.0,19.0
91,91.0,49.0,15.0,17.0,19.0
92,92.0,49.0,14.0,18.0,19.0
93,93.0,49.0,14.0,17.0,20.0
94,94.0,49.0,13.0,18.0,20.0
95,95.0,49.0,12.0,19.0,20.0
96,96.0,49.0,12.0,18.0,21.0
97,97.0,48.0,13.0,18.0,21.0
98,98.0,47.0,14.0,18.0,21.0
99,99.0,47.0,13.0,19.0,21.0
100,100.0,47.0,13.0,18.0,22.0
101,101.0,47.0,12.0,19.0,22.0
102,102.0,46.0,13.0,19.0,22.0
103,103.0,45.0,14.0,19.0,22.0
104,104.0,44.0,15.0,19.0,22.0
105,105.0,43.0,16.0,19.0,22.0
106,106.0,43.0,15.0,20.0,22.0
107,107.0,43.0,15.0,19.0,23.0
108,108.0,42.0,16.0,19.0,23.0
109,109.0,41.0,17.0,19.0,23.0
110,110.0,40.0,18.0,19.0,23.0
111,111.0,39.0,19.0,19.0,23.0
112,112.0,38.0,20.0,19.0,23.0
113,113.0,38.0,19.0,20.0,23.0
114,114.0,38.0,19.0,19.0,24.0
115,115.0,37.0,20.0,19.0,24.0
116,116.0,36.0,21.0,19.0,24.0
117,117.0,36.0,20.0,20.0,24.0
118,118.0,36.0,20.0,19.0,25.0
119,119.0,36.0,20.0,18.0,26.0
120,120.0,36.0,20.0,17.0,27.0
121,121.0,36.0,20.0,16.0,28.0
122,122.0,36.0,19.0,17.0,28.0
123,123.0,36.0,18.0,18.0,28.0
124,124.0,36.0,17.0,19.0,28.0
125,125.0,35.0,18.0,19.0,28.0
126,126.0,35.0,18.0,18.0,29.0
127,127.0,34.0,19.0,18.0,29.0
128,128.0,33.0,20.0,18.0,29.0
129,129.0,33.0,19.0,19.0,29.0
130,130.0,33.0,18.0,20.0,29.0
131,131.0,33.0,17.0,21.0,29.0
132,132.0,32.0,18.0,21.0,29.0
133,133.0,32.0,17.0,22.0,29.0
134,134.0,31.0,18.0,22.0,29.0
